damage_severityepoch: 4_test:tensor(0.6962, device='cuda:0')_val:tensor(0.6711, device='cuda:0')_train:tensor(0.7317, device='cuda:0')_lr:1e-05
damage_severityepoch: 5_test:tensor(0.6960, device='cuda:0')_val:tensor(0.6652, device='cuda:0')_train:tensor(0.7379, device='cuda:0')_lr:1e-05
damage_severityepoch: 6_test:tensor(0.7115, device='cuda:0')_val:tensor(0.6855, device='cuda:0')_train:tensor(0.7412, device='cuda:0')_lr:1e-05
damage_severityepoch: 7_test:tensor(0.7185, device='cuda:0')_val:tensor(0.6862, device='cuda:0')_train:tensor(0.7439, device='cuda:0')_lr:1e-05
damage_severityepoch: 8_test:tensor(0.7299, device='cuda:0')_val:tensor(0.7058, device='cuda:0')_train:tensor(0.7513, device='cuda:0')_lr:1e-05
damage_severityepoch: 9_test:tensor(0.7213, device='cuda:0')_val:tensor(0.6940, device='cuda:0')_train:tensor(0.7518, device='cuda:0')_lr:1e-05
damage_severityepoch: 10_test:tensor(0.7115, device='cuda:0')_val:tensor(0.6869, device='cuda:0')_train:tensor(0.7605, device='cuda:0')_lr:1e-05
damage_severityepoch: 11_test:tensor(0.7082, device='cuda:0')_val:tensor(0.6851, device='cuda:0')_train:tensor(0.7629, device='cuda:0')_lr:1e-05
damage_severityepoch: 12_test:tensor(0.7263, device='cuda:0')_val:tensor(0.7013, device='cuda:0')_train:tensor(0.7655, device='cuda:0')_lr:1e-05
damage_severityepoch: 13_test:tensor(0.7276, device='cuda:0')_val:tensor(0.7039, device='cuda:0')_train:tensor(0.7723, device='cuda:0')_lr:1e-05
damage_severityepoch: 14_test:tensor(0.7286, device='cuda:0')_val:tensor(0.6976, device='cuda:0')_train:tensor(0.7722, device='cuda:0')_lr:1e-05
damage_severityepoch: 15_test:tensor(0.7234, device='cuda:0')_val:tensor(0.6973, device='cuda:0')_train:tensor(0.7765, device='cuda:0')_lr:1e-05
damage_severityepoch: 16_test:tensor(0.7332, device='cuda:0')_val:tensor(0.7039, device='cuda:0')_train:tensor(0.7783, device='cuda:0')_lr:1e-05
damage_severityepoch: 17_test:tensor(0.7113, device='cuda:0')_val:tensor(0.6792, device='cuda:0')_train:tensor(0.7826, device='cuda:0')_lr:1e-05
damage_severityepoch: 18_test:tensor(0.7314, device='cuda:0')_val:tensor(0.6999, device='cuda:0')_train:tensor(0.7846, device='cuda:0')_lr:1e-05
damage_severityepoch: 19_test:tensor(0.7201, device='cuda:0')_val:tensor(0.7013, device='cuda:0')_train:tensor(0.7874, device='cuda:0')_lr:1e-05
damage_severityepoch: 20_test:tensor(0.7312, device='cuda:0')_val:tensor(0.7102, device='cuda:0')_train:tensor(0.7893, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 21_test:tensor(0.7270, device='cuda:0')_val:tensor(0.6940, device='cuda:0')_train:tensor(0.7913, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 22_test:tensor(0.7229, device='cuda:0')_val:tensor(0.6991, device='cuda:0')_train:tensor(0.7939, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 23_test:tensor(0.7201, device='cuda:0')_val:tensor(0.6892, device='cuda:0')_train:tensor(0.7967, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 24_test:tensor(0.7245, device='cuda:0')_val:tensor(0.7010, device='cuda:0')_train:tensor(0.7975, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 25_test:tensor(0.7245, device='cuda:0')_val:tensor(0.7010, device='cuda:0')_train:tensor(0.7951, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 26_test:tensor(0.7304, device='cuda:0')_val:tensor(0.7043, device='cuda:0')_train:tensor(0.7941, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 27_test:tensor(0.7351, device='cuda:0')_val:tensor(0.7080, device='cuda:0')_train:tensor(0.7935, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 28_test:tensor(0.7226, device='cuda:0')_val:tensor(0.6914, device='cuda:0')_train:tensor(0.7971, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 29_test:tensor(0.7263, device='cuda:0')_val:tensor(0.7013, device='cuda:0')_train:tensor(0.7948, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 30_test:tensor(0.7263, device='cuda:0')_val:tensor(0.6999, device='cuda:0')_train:tensor(0.7958, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 31_test:tensor(0.7376, device='cuda:0')_val:tensor(0.7109, device='cuda:0')_train:tensor(0.7956, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 32_test:tensor(0.7353, device='cuda:0')_val:tensor(0.7124, device='cuda:0')_train:tensor(0.7948, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 33_test:tensor(0.7247, device='cuda:0')_val:tensor(0.6980, device='cuda:0')_train:tensor(0.7965, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 34_test:tensor(0.7247, device='cuda:0')_val:tensor(0.7024, device='cuda:0')_train:tensor(0.7976, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 35_test:tensor(0.7265, device='cuda:0')_val:tensor(0.7032, device='cuda:0')_train:tensor(0.7977, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 36_test:tensor(0.7356, device='cuda:0')_val:tensor(0.7072, device='cuda:0')_train:tensor(0.7973, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 37_test:tensor(0.7229, device='cuda:0')_val:tensor(0.6980, device='cuda:0')_train:tensor(0.7970, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 38_test:tensor(0.7263, device='cuda:0')_val:tensor(0.6925, device='cuda:0')_train:tensor(0.8027, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 39_test:tensor(0.7162, device='cuda:0')_val:tensor(0.6928, device='cuda:0')_train:tensor(0.7979, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 40_test:tensor(0.7379, device='cuda:0')_val:tensor(0.7098, device='cuda:0')_train:tensor(0.7985, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 41_test:tensor(0.7177, device='cuda:0')_val:tensor(0.6858, device='cuda:0')_train:tensor(0.7997, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 42_test:tensor(0.7317, device='cuda:0')_val:tensor(0.7010, device='cuda:0')_train:tensor(0.8000, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 43_test:tensor(0.7154, device='cuda:0')_val:tensor(0.6936, device='cuda:0')_train:tensor(0.8025, device='cuda:0')_lr:1.0000000000000002e-06
damage_severityepoch: 44_test:tensor(0.7395, device='cuda:0')_val:tensor(0.7117, device='cuda:0')_train:tensor(0.8021, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 45_test:tensor(0.7327, device='cuda:0')_val:tensor(0.7013, device='cuda:0')_train:tensor(0.8009, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 46_test:tensor(0.7283, device='cuda:0')_val:tensor(0.7002, device='cuda:0')_train:tensor(0.8014, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 47_test:tensor(0.7322, device='cuda:0')_val:tensor(0.7069, device='cuda:0')_train:tensor(0.7986, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 48_test:tensor(0.7245, device='cuda:0')_val:tensor(0.7010, device='cuda:0')_train:tensor(0.8018, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 49_test:tensor(0.7278, device='cuda:0')_val:tensor(0.7032, device='cuda:0')_train:tensor(0.8002, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 50_test:tensor(0.7304, device='cuda:0')_val:tensor(0.6987, device='cuda:0')_train:tensor(0.8005, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 51_test:tensor(0.7195, device='cuda:0')_val:tensor(0.6917, device='cuda:0')_train:tensor(0.8005, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 52_test:tensor(0.7413, device='cuda:0')_val:tensor(0.7235, device='cuda:0')_train:tensor(0.8017, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 53_test:tensor(0.7449, device='cuda:0')_val:tensor(0.7231, device='cuda:0')_train:tensor(0.8024, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 54_test:tensor(0.7335, device='cuda:0')_val:tensor(0.7028, device='cuda:0')_train:tensor(0.7988, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 55_test:tensor(0.7234, device='cuda:0')_val:tensor(0.6962, device='cuda:0')_train:tensor(0.8004, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 56_test:tensor(0.7149, device='cuda:0')_val:tensor(0.6940, device='cuda:0')_train:tensor(0.8018, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 57_test:tensor(0.7408, device='cuda:0')_val:tensor(0.7128, device='cuda:0')_train:tensor(0.7986, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 58_test:tensor(0.7221, device='cuda:0')_val:tensor(0.6976, device='cuda:0')_train:tensor(0.8031, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 59_test:tensor(0.7358, device='cuda:0')_val:tensor(0.7013, device='cuda:0')_train:tensor(0.8031, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 60_test:tensor(0.7376, device='cuda:0')_val:tensor(0.7043, device='cuda:0')_train:tensor(0.8042, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 61_test:tensor(0.7247, device='cuda:0')_val:tensor(0.6962, device='cuda:0')_train:tensor(0.7996, device='cuda:0')_lr:1.0000000000000002e-07
damage_severityepoch: 62_test:tensor(0.7263, device='cuda:0')_val:tensor(0.6984, device='cuda:0')_train:tensor(0.7985, device='cuda:0')_lr:1.0000000000000002e-07
