disaster_types_test:tensor(0.6319, device='cuda:0')_val:tensor(0.6252, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6319, device='cuda:0')_val:tensor(0.6259, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6322, device='cuda:0')_val:tensor(0.6265, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6332, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6341, device='cuda:0')_val:tensor(0.6265, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6347, device='cuda:0')_val:tensor(0.6265, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6341, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6338, device='cuda:0')_val:tensor(0.6286, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6335, device='cuda:0')_val:tensor(0.6293, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6335, device='cuda:0')_val:tensor(0.6299, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6332, device='cuda:0')_val:tensor(0.6306, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6338, device='cuda:0')_val:tensor(0.6306, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6341, device='cuda:0')_val:tensor(0.6299, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6354, device='cuda:0')_val:tensor(0.6299, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6344, device='cuda:0')_val:tensor(0.6293, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6351, device='cuda:0')_val:tensor(0.6286, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6347, device='cuda:0')_val:tensor(0.6306, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6351, device='cuda:0')_val:tensor(0.6306, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6347, device='cuda:0')_val:tensor(0.6306, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6344, device='cuda:0')_val:tensor(0.6313, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6357, device='cuda:0')_val:tensor(0.6320, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6360, device='cuda:0')_val:tensor(0.6320, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6360, device='cuda:0')_val:tensor(0.6313, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6360, device='cuda:0')_val:tensor(0.6320, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6360, device='cuda:0')_val:tensor(0.6306, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6360, device='cuda:0')_val:tensor(0.6306, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6360, device='cuda:0')_val:tensor(0.6293, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6354, device='cuda:0')_val:tensor(0.6293, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6347, device='cuda:0')_val:tensor(0.6286, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6354, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6347, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6351, device='cuda:0')_val:tensor(0.6259, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6366, device='cuda:0')_val:tensor(0.6265, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6369, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6366, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6379, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6382, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6379, device='cuda:0')_val:tensor(0.6286, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6379, device='cuda:0')_val:tensor(0.6286, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6286, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-06
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6279, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000002e-07
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6372, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_types_test:tensor(0.6376, device='cuda:0')_val:tensor(0.6272, device='cuda:0')_train:tensor(1., device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 0_test:tensor(0.1102, device='cuda:0')_val:tensor(0.1190, device='cuda:0')_train:tensor(0.4229, device='cuda:0')_lr:1e-05
disaster_typesepoch: 1_test:tensor(0.3008, device='cuda:0')_val:tensor(0.2898, device='cuda:0')_train:tensor(0.6349, device='cuda:0')_lr:1e-05
disaster_typesepoch: 2_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.6792, device='cuda:0')_lr:1e-05
disaster_typesepoch: 3_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.7131, device='cuda:0')_lr:1e-05
disaster_typesepoch: 4_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.7362, device='cuda:0')_lr:1e-05
disaster_typesepoch: 0_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.4092, device='cuda:0')_lr:1e-05
disaster_typesepoch: 1_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.5844, device='cuda:0')_lr:1e-05
disaster_typesepoch: 0_test:tensor(0.0945, device='cuda:0')_val:tensor(0.0973, device='cuda:0')_train:tensor(0.4160, device='cuda:0')_lr:1e-05
disaster_typesepoch: 1_test:tensor(0.2989, device='cuda:0')_val:tensor(0.2844, device='cuda:0')_train:tensor(0.6007, device='cuda:0')_lr:1e-05
disaster_typesepoch: 2_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.6409, device='cuda:0')_lr:1e-05
disaster_typesepoch: 3_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.6723, device='cuda:0')_lr:1e-05
disaster_typesepoch: 0_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.4411, device='cuda:0')_lr:1e-05
disaster_typesepoch: 1_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.5940, device='cuda:0')_lr:1e-05
disaster_typesepoch: 2_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.6417, device='cuda:0')_lr:1e-05
disaster_typesepoch: 0_test:tensor(0.2448, device='cuda:0')_val:tensor(0.2456, device='cuda:0')_train:tensor(0.4118, device='cuda:0')_lr:1e-05
disaster_typesepoch: 1_test:tensor(0.3099, device='cuda:0')_val:tensor(0.2959, device='cuda:0')_train:tensor(0.5866, device='cuda:0')_lr:1e-05
disaster_typesepoch: 0_test:tensor(0.6839, device='cuda:0')_val:tensor(0.6531, device='cuda:0')_train:tensor(0.4799, device='cuda:0')_lr:1e-05
disaster_typesepoch: 1_test:tensor(0.7408, device='cuda:0')_val:tensor(0.7041, device='cuda:0')_train:tensor(0.6527, device='cuda:0')_lr:1e-05
disaster_typesepoch: 2_test:tensor(0.7515, device='cuda:0')_val:tensor(0.7211, device='cuda:0')_train:tensor(0.6871, device='cuda:0')_lr:1e-05
disaster_typesepoch: 3_test:tensor(0.7640, device='cuda:0')_val:tensor(0.7395, device='cuda:0')_train:tensor(0.7032, device='cuda:0')_lr:1e-05
disaster_typesepoch: 4_test:tensor(0.7772, device='cuda:0')_val:tensor(0.7429, device='cuda:0')_train:tensor(0.7200, device='cuda:0')_lr:1e-05
disaster_typesepoch: 5_test:tensor(0.7765, device='cuda:0')_val:tensor(0.7599, device='cuda:0')_train:tensor(0.7240, device='cuda:0')_lr:1e-05
disaster_typesepoch: 6_test:tensor(0.7772, device='cuda:0')_val:tensor(0.7517, device='cuda:0')_train:tensor(0.7359, device='cuda:0')_lr:1e-05
