disaster_typesepoch: 96_test:tensor(0.8016, device='cuda:0')_val:tensor(0.7810, device='cuda:0')_train:tensor(0.8910, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 97_test:tensor(0.7984, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8952, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 98_test:tensor(0.8034, device='cuda:0')_val:tensor(0.7803, device='cuda:0')_train:tensor(0.8927, device='cuda:0')_lr:1.0000000000000004e-08
disaster_typesepoch: 99_test:tensor(0.8031, device='cuda:0')_val:tensor(0.7796, device='cuda:0')_train:tensor(0.8858, device='cuda:0')_lr:1.0000000000000004e-08
damage_severityepoch: 0_test:tensor(0.6722, device='cuda:0')_val:tensor(0.6552, device='cuda:0')_train:tensor(0.6438, device='cuda:0')_lr:1e-05
damage_severityepoch: 1_test:tensor(0.6825, device='cuda:0')_val:tensor(0.6652, device='cuda:0')_train:tensor(0.7101, device='cuda:0')_lr:1e-05
damage_severityepoch: 2_test:tensor(0.6872, device='cuda:0')_val:tensor(0.6538, device='cuda:0')_train:tensor(0.7274, device='cuda:0')_lr:1e-05
damage_severityepoch: 3_test:tensor(0.7014, device='cuda:0')_val:tensor(0.6866, device='cuda:0')_train:tensor(0.7366, device='cuda:0')_lr:1e-05
damage_severityepoch: 4_test:tensor(0.7040, device='cuda:0')_val:tensor(0.6744, device='cuda:0')_train:tensor(0.7449, device='cuda:0')_lr:1e-05
damage_severityepoch: 5_test:tensor(0.7133, device='cuda:0')_val:tensor(0.6965, device='cuda:0')_train:tensor(0.7524, device='cuda:0')_lr:1e-05
damage_severityepoch: 6_test:tensor(0.7120, device='cuda:0')_val:tensor(0.6884, device='cuda:0')_train:tensor(0.7633, device='cuda:0')_lr:1e-05
damage_severityepoch: 7_test:tensor(0.7141, device='cuda:0')_val:tensor(0.6888, device='cuda:0')_train:tensor(0.7620, device='cuda:0')_lr:1e-05
damage_severityepoch: 8_test:tensor(0.7118, device='cuda:0')_val:tensor(0.6833, device='cuda:0')_train:tensor(0.7680, device='cuda:0')_lr:1e-05
damage_severityepoch: 9_test:tensor(0.7146, device='cuda:0')_val:tensor(0.6884, device='cuda:0')_train:tensor(0.7741, device='cuda:0')_lr:1e-05
damage_severityepoch: 10_test:tensor(0.7190, device='cuda:0')_val:tensor(0.6917, device='cuda:0')_train:tensor(0.7780, device='cuda:0')_lr:1e-05
damage_severityepoch: 11_test:tensor(0.7234, device='cuda:0')_val:tensor(0.6932, device='cuda:0')_train:tensor(0.7829, device='cuda:0')_lr:1e-05
damage_severityepoch: 12_test:tensor(0.7169, device='cuda:0')_val:tensor(0.6833, device='cuda:0')_train:tensor(0.7870, device='cuda:0')_lr:1e-05
damage_severityepoch: 13_test:tensor(0.7338, device='cuda:0')_val:tensor(0.7021, device='cuda:0')_train:tensor(0.7889, device='cuda:0')_lr:1e-05
damage_severityepoch: 14_test:tensor(0.7327, device='cuda:0')_val:tensor(0.7010, device='cuda:0')_train:tensor(0.7924, device='cuda:0')_lr:1e-05
damage_severityepoch: 15_test:tensor(0.7245, device='cuda:0')_val:tensor(0.6973, device='cuda:0')_train:tensor(0.7955, device='cuda:0')_lr:1e-05
damage_severityepoch: 16_test:tensor(0.7356, device='cuda:0')_val:tensor(0.6969, device='cuda:0')_train:tensor(0.7984, device='cuda:0')_lr:1e-05
damage_severityepoch: 17_test:tensor(0.7317, device='cuda:0')_val:tensor(0.6899, device='cuda:0')_train:tensor(0.8020, device='cuda:0')_lr:1e-05
damage_severityepoch: 18_test:tensor(0.7441, device='cuda:0')_val:tensor(0.7098, device='cuda:0')_train:tensor(0.8038, device='cuda:0')_lr:1e-05
damage_severityepoch: 19_test:tensor(0.7379, device='cuda:0')_val:tensor(0.6973, device='cuda:0')_train:tensor(0.8060, device='cuda:0')_lr:1e-05
